function,frame,time_ms
track,407,2.257712,0.002455,1
imagePyramid,407,0.488581
preCompute,407,1.469751
imagePyramid,407,0.451451
preCompute,407,1.866511
imagePyramid,409,0.368080
track,409,2.056881,0.000000,1
imagePyramid,410,0.434640
track,410,2.978523,0.002379,1
imagePyramid,411,0.420040
track,411,2.926363,0.001916,1
imagePyramid,412,0.422690
track,412,2.647532,0.002176,1
imagePyramid,413,0.381490
track,413,2.227002,0.002634,1
imagePyramid,414,0.352700
track,414,2.200702,0.002603,1
imagePyramid,415,0.362170
track,415,2.128341,0.002812,1
imagePyramid,416,0.464011
track,416,2.893333,0.003342,1
imagePyramid,417,0.513481
track,417,2.254212,0.002608,1
imagePyramid,418,0.464071
track,418,2.066982,0.002411,1
imagePyramid,418,0.371580
preCompute,418,1.383502
imagePyramid,418,0.655910
preCompute,418,1.381992
imagePyramid,420,0.338760
track,420,1.904132,0.000000,1
imagePyramid,421,0.548971
track,421,2.673592,0.002601,1
imagePyramid,422,0.445321
track,422,2.675082,0.002245,1
imagePyramid,423,0.455520
track,423,2.142531,0.002453,1
imagePyramid,424,0.394511
track,424,2.003101,0.003017,1
imagePyramid,425,0.374380
track,425,2.223882,0.003030,1
imagePyramid,426,0.356610
track,426,2.335032,0.003172,1
imagePyramid,427,0.382330
track,427,2.291472,0.003480,1
imagePyramid,428,0.414871
track,428,2.242392,0.003357,1
imagePyramid,429,0.382640
track,429,2.249442,0.004352,1
imagePyramid,429,0.516371
preCompute,429,1.572351
imagePyramid,429,0.413120
preCompute,429,1.726212
imagePyramid,431,0.350700
track,431,2.073832,0.000000,1
imagePyramid,432,0.462900
track,432,2.996643,0.001876,1
imagePyramid,433,0.415860
track,433,3.174073,0.002548,1
imagePyramid,434,0.522651
track,434,2.574152,0.002390,1
imagePyramid,435,0.511231
track,435,1.969342,0.002203,1
imagePyramid,436,0.374360
track,436,2.199112,0.002351,1
imagePyramid,437,0.388260
track,437,2.092612,0.002404,1
imagePyramid,438,0.438290
track,438,2.232282,0.002648,1
imagePyramid,439,0.365040
track,439,2.153342,0.002366,1
imagePyramid,440,0.378660
track,440,2.188192,0.002654,1
imagePyramid,440,0.523760
preCompute,440,1.740442
imagePyramid,440,0.414560
preCompute,440,1.769592
imagePyramid,442,0.355400
track,442,2.019532,0.000000,1
imagePyramid,443,0.467201
track,443,2.964513,0.002725,1
imagePyramid,444,0.506041
track,444,2.935273,0.002734,1
imagePyramid,445,0.409970
track,445,2.047672,0.003213,1
imagePyramid,446,0.404961
track,446,2.075422,0.003475,1
imagePyramid,447,0.488010
track,447,2.181262,0.003516,1
imagePyramid,447,0.357801
preCompute,447,1.627051
imagePyramid,447,0.365310
preCompute,447,1.800322
imagePyramid,449,0.338470
track,449,2.015652,0.000000,1
imagePyramid,450,0.422740
track,450,2.761332,0.002713,1
imagePyramid,451,0.401930
track,451,2.579943,0.002742,1
imagePyramid,452,0.378600
track,452,2.359352,0.002557,1
imagePyramid,453,0.387871
track,453,2.336662,0.002823,1
imagePyramid,454,0.369791
track,454,2.314592,0.002722,1
imagePyramid,455,0.380031
track,455,2.260392,0.002807,1
imagePyramid,456,0.373761
track,456,2.336552,0.002910,1
imagePyramid,457,0.358510
track,457,2.138142,0.002918,1
imagePyramid,458,0.386531
track,458,2.111542,0.003018,1
imagePyramid,458,0.401421
preCompute,458,1.540461
imagePyramid,458,0.419771
preCompute,458,1.843801
imagePyramid,460,0.332781
track,460,2.057042,0.000000,1
imagePyramid,461,0.404871
track,461,2.965233,0.002553,1
imagePyramid,462,0.404451
track,462,2.460582,0.002588,1
imagePyramid,463,0.405190
track,463,2.327972,0.002878,1
imagePyramid,464,0.368640
track,464,2.072072,0.003481,1
imagePyramid,465,0.370520
track,465,2.241602,0.003136,1
imagePyramid,466,0.360781
track,466,1.803001,0.003815,1
imagePyramid,466,0.333180
preCompute,466,1.393251
imagePyramid,466,0.366051
preCompute,466,1.555521
imagePyramid,468,0.345951
track,468,1.931621,0.000000,1
imagePyramid,469,0.378721
track,469,2.761132,0.002844,1
imagePyramid,470,0.384280
track,470,2.433042,0.003160,1
imagePyramid,471,0.361301
track,471,2.209752,0.003312,1
imagePyramid,472,0.359420
track,472,2.254542,0.003414,1
